Ticker,GF Value,GFValuediff,AveragePriceTarget,SmartScore,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
ZWS,31.73,6.422941472413212,31.2,3.0,29.815,5152346388.86796,Producer Manufacturing,Industrial Machinery,4.645312762032527
ZUO,11.45,24.45652173913044,12.63,7.0,9.2,1316658011.035987,Technology Services,Packaged Software,37.28260869565219
ZTS,200.82,3.627638165023996,220.0,7.0,193.79,88971641329.64262,Health Technology,Pharmaceuticals: Major,13.524949687806394
ZTO,29.49,47.96788760662318,33.83,7.0,19.93,16020066918.016,Transportation,Air Freight/Couriers,69.74410436527846
ZS,308.32,39.81498276800289,225.53,8.0,220.52,32710489369.609005,Technology Services,Data Processing Services,2.271902775258476
ZNTL,0.0,-100.0,32.89,8.0,14.67,1038133859.2363636,Health Technology,Biotechnology,124.19904567143833
ZM,112.95,56.07727172230822,77.29,5.0,72.368,22030645441.20456,Technology Services,Packaged Software,6.8013486623922335
ZLAB,76.48,194.4936465152099,69.14,9.0,25.97,2619217382.7840004,Health Technology,Biotechnology,166.23026569118215
ZIP,0.0,-100.0,14.0,7.0,14.195,1364421689.830996,Technology Services,Internet Software/Services,-1.3737231419513931
ZION,62.31,40.31634794671088,38.69,2.0,44.4068,6578814135.91215,Finance,Major Banks,-12.873704027311131
ZIM,25.21,123.09734513274336,7.15,4.0,11.3,1358080385.9619048,Transportation,Marine Shipping,-36.72566371681416
ZI,50.58,166.35071090047396,20.07,7.0,18.99,7401967588.506334,Technology Services,Packaged Software,5.687203791469204
ZGN,0.0,-100.0,14.65,8.0,11.64,2908013133.9296136,Consumer Non-Durables,Apparel/Footwear,25.859106529209622
ZG,44.75,-23.38640643725389,49.47,7.0,58.41,13784562911.33966,Technology Services,Information Technology Services,-15.305598356445811
ZETA,0.0,-100.0,13.17,7.0,8.9,1907069974.541284,Technology Services,Packaged Software,47.97752808988764
ZD,92.33,36.98914680375966,77.67,5.0,67.3995,3099349209.331752,Technology Services,Internet Software/Services,15.238243607148416
ZBRA,294.34,10.334745286201594,261.6,7.0,266.77,13701201401.98021,Electronic Technology,Computer Processing Hardware,-1.937999025377651
ZBH,138.41,14.829717509437094,130.76,9.0,120.535,25189490549.265022,Health Technology,Medical Specialties,8.483013232671004
Z,46.12,-22.06826630618453,50.17,5.0,59.18,13780855655.40902,Technology Services,Information Technology Services,-15.224738087191614
YY,25.35,-34.35193577625275,46.5,5.0,38.615,2465865178.0,Technology Services,Data Processing Services,20.419526090897318
YUMC,64.59,55.37647341833054,61.44,9.0,41.57,17195607347.16807,Consumer Services,Restaurants,47.798893432764
