,GF Value,Ticker,Price,Market Capitalization,Sector,Industry,GFValuediff
0,31.73,ZWS,29.815,5152346388.86796,Producer Manufacturing,Industrial Machinery,6.4229414724132115
1,11.45,ZUO,9.2,1316658011.035987,Technology Services,Packaged Software,24.456521739130437
2,200.82,ZTS,193.79,88971641329.64262,Health Technology,Pharmaceuticals: Major,3.627638165023996
3,29.49,ZTO,19.93,16020066918.016,Transportation,Air Freight/Couriers,47.96788760662318
4,308.32,ZS,220.52,32710489369.609005,Technology Services,Data Processing Services,39.81498276800289
5,0.0,ZNTL,14.67,1038133859.2363636,Health Technology,Biotechnology,-100.0
6,112.95,ZM,72.368,22030645441.20456,Technology Services,Packaged Software,56.07727172230822
7,76.48,ZLAB,25.97,2619217382.7840004,Health Technology,Biotechnology,194.4936465152099
8,0.0,ZKH,15.63,2510397269.0,Retail Trade,Specialty Stores,-100.0
9,0.0,ZIP,14.195,1364421689.830996,Technology Services,Internet Software/Services,-100.0
10,62.31,ZION,44.4068,6578814135.91215,Finance,Major Banks,40.316347946710884
11,25.21,ZIM,11.3,1358080385.9619048,Transportation,Marine Shipping,123.09734513274336
12,50.58,ZI,18.99,7401967588.506334,Technology Services,Packaged Software,166.35071090047396
13,0.0,ZGN,11.64,2908013133.9296136,Consumer Non-Durables,Apparel/Footwear,-100.0
14,44.75,ZG,58.41,13784562911.33966,Technology Services,Information Technology Services,-23.38640643725389
15,0.0,ZETA,8.9,1907069974.541284,Technology Services,Packaged Software,-100.0
16,92.33,ZD,67.3995,3099349209.331752,Technology Services,Internet Software/Services,36.98914680375966
17,294.34,ZBRA,266.77,13701201401.98021,Electronic Technology,Computer Processing Hardware,10.334745286201594
18,138.41,ZBH,120.535,25189490549.265022,Health Technology,Medical Specialties,14.829717509437094
19,46.12,Z,59.18,13780855655.40902,Technology Services,Information Technology Services,-22.068266306184526
20,25.35,YY,38.615,2465865178.0,Technology Services,Data Processing Services,-34.35193577625275
21,64.59,YUMC,41.57,17195607347.16807,Consumer Services,Restaurants,55.37647341833054
22,141.15,YUM,129.855,36399423690.70926,Consumer Services,Restaurants,8.69816333602866
