,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Industry
0,A,-5.64,41.33,1.5,5.4,8.6,17.9,7.4,7.8,12,52.63,1.19,-6.25,42.75,5.31,,0.76,0.48,2.29,113.46,55.49,72.53,1.59,0.5,Grey,0.23,0.76,23.84,20,24.4,18.37,18.15,5.04,5.01,4.19,0.52,0.78,20,17.89,7.46,3.18,50.93,14.72,,,16.2,WACC vs ROIC,20.2,6.11,30.34,30.34,2.23,4.96,7/9,,,,24.15,6.54,1.01,,,20.11,32.15,2.04,1.86,31.67,1.68,10.61,68.56,16.6,20.72,,13.47,Beneish M-Score,4.5,41.25,ROIC,,10,"Agilent Technologies, Inc.",115.91,0.89658774,1.03,Sell,6889629,798576897.39,33913792728.0,30.39704185,3.8303,Health Technology,Medical Specialties
1,AA,-29.67,43.74,1.6,9,,54.4,51.8,4.4,6.8,46.22,1.37,-23.71,45.19,1.01,,0.38,0.55,1.8,87.3,57.92,26.06,-3.34,0.37,Grey,,1.39,-5.41,-11.42,-14.74,5.54,3.42,0.51,0.57,-18.48,0.34,1.39,11.31,-1.82,,-0.36,6.3,,,,-13.56,WACC vs ROIC,-2.01,1.06,,,,0.5,3/9,,,,,,,,,70.54,,,0.79,1.11,0.87,-9.98,-15.69,-9.65,-28.74,,-2.32,Beneish M-Score,0.51,,ROIC,,3,Alcoa Corporation,28.85,-4.43855581,-1.34,Strong Sell,8716044,251457869.4,5148271475.0,,-8.1519,Non-Energy Minerals,Aluminum
2,AAL,8.97,21.84,-15,-218.4,,-19,-63.1,3.4,-10.1,15.25,,12.19,17.82,0.87,,0.5,0.28,0.75,20.56,21.47,13.84,7.65,-9.71,Grey,,,7.04,7.04,24.49,8.46,5.18,0.72,0.74,14.2,-0.07,,3.84,-26.97,66.42,2.66,23.77,2.33,,,4.98,WACC vs ROIC,9.34,,3.57,3.57,,0.17,7/9,,,,5.36,,0.39,,,2.06,369.75,,,,0.66,3.95,14.68,12.75,Neg. Equity,,5.77,Beneish M-Score,20.64,23.77,ROIC,,7,"American Airlines Group, Inc.",13.31,0.37707391,0.05,Sell,25018515,332996434.65000004,8696254174.0,3.60910003,4.0385,Transportation,Airlines
3,AAON,62.96,40.4,-0.9,23.5,10.5,20.6,22.2,,22.6,23.5,1.06,7.01,35.66,13.98,,0.03,0.06,2.76,95.25,19.16,48.84,0.39,0.13,Grey,0.18,0.66,27.7,22.69,142.72,,,,4.82,3.61,0.71,0.53,,16.99,,,30.11,39.79,,,14.22,WACC vs ROIC,17.41,5,33.69,33.69,2.76,4.79,7/9,2.09,12.13,,139.96,3.1,0.99,,21.44,40.78,89.64,2.04,5.87,6.41,1.36,17.83,35.22,26.35,26.17,,20.87,Beneish M-Score,0.42,66.9,ROIC,,10,"AAON, Inc.",60.88,-0.0984575,-0.06,Sell,1397935,85106282.8,4968385340.0,33.74348742,1.8492,Producer Manufacturing,Industrial Machinery
4,AAP,-58.4,34.8,5.1,-4.1,192.4,8,6.5,-4.2,10.4,34.99,296.33,-42.74,33.63,1.94,,0.06,0.07,1.26,285.48,228,26.57,5,1.52,Grey,0.78,7.94,14.02,8.96,-66.95,14.48,8.76,0.65,0.66,7.13,0.22,1.67,10.58,19.44,14,1.54,43.58,6.79,,,3.08,WACC vs ROIC,4.76,1.31,10.35,10.35,1.11,0.33,4/9,0.9,,,,1.21,0.27,,,14.51,,1.24,0.44,3.16,0.25,2.84,10.25,7.63,12.76,,5.62,Beneish M-Score,-2.8,7.44,ROIC,,10,Advance Auto Parts Inc.,59.82,0.3354579,0.2,Sell,4467277,267232510.14,3557510972.0,10.35682751,5.801,Retail Trade,Specialty Stores
5,AAPL,16.46,39.8,3.6,-14.5,6.3,22.8,27.2,29.2,20,31.82,0.79,15.99,37.04,8.28,,0.5,0.57,0.98,10.77,87.43,21.15,0.86,1.81,Grey,0.16,0.54,24.27,22.03,27.67,22.88,20.6,6.79,7.28,4.12,0.18,0.55,26.32,21.24,11.82,3.14,43.45,29.86,,,24.68,WACC vs ROIC,29.23,45.45,29.41,29.41,1.69,7.24,6/9,1.33,1.3,,27.56,7.71,1.88,,,24.63,28.17,1.6,2.23,45.46,0.92,27.82,271.14,55.53,164.55,,31.88,Beneish M-Score,3.09,44.19,ROIC,,10,Apple Inc.,175.01,-0.41538637,-0.73,Sell,109259156,19121498269.61,2736146930271.0005,29.41097387,5.977,Electronic Technology,Telecommunications Equipment
6,AAT,-21.26,43.52,-0.4,-2.8,3.9,1.6,-5,-2.6,2.3,45.02,7.37,12.96,42.79,0.61,,0.83,0.05,1.77,,153.49,6.63,6.88,1.41,Grey,1.55,6.37,22.71,11.62,30.1,,,,6.65,4.4,0.4,6.42,,4.47,,,63.49,1.95,,,14.92,WACC vs ROIC,27.45,1.03,24.49,24.49,24.49,3.64,6/9,2.11,1.42,9.22,16.51,1.09,0.46,,,8.31,16.26,,0.94,1.08,1.77,2.16,532.12,4.41,5.3,,4.11,Beneish M-Score,5.36,27.07,ROIC,,10,"American Assets Trust, Inc.",20.57,-1.0105871,-0.21,Sell,1656455,34073279.35,1249105589.0,25.50526968,0.8405,Finance,Real Estate Investment Trusts
7,AB,-31.26,61.38,-5.1,4.8,15.1,,2.6,15.3,2.6,74.23,12.83,-16.68,67.15,,,,,,,,,,,,1.2,7.92,,,12.34,3.85,3.58,0.83,13.29,,,7.92,10.3,11.74,1.05,,,,,,88.2,,,1.83,14.52,14.52,6.05,12.78,,0.73,0.69,,12.09,1.09,1.15,,,12.09,,,0.86,1.83,,12.89,,,13.48,,,,8.43,11.93,,,10,AllianceBernstein Holding L.P.,32.94,2.01300712,0.65,Buy,513226,16905664.44,3743811134.999999,14.47339514,2.2759,Finance,Investment Managers
8,ABBV,6.74,61.71,-6.2,,9.6,18.2,7.9,16.6,13.4,66.87,8.01,-1.26,64.09,2.04,,0.27,0.14,0.89,75.59,61.48,73.23,2.85,4.74,Grey,1.19,3.85,25.52,15.1,13.04,13.16,12.41,6.06,5.78,3.92,0.1,3.89,13.89,27.07,2.3,-1.99,68.91,8.11,,,15.5,WACC vs ROIC,32.31,20.87,31.3,31.3,1.57,4.87,7/9,1.9,0.39,,10.92,,1.11,,,10.62,15.91,1.42,1.26,,0.77,6.26,257.12,11.81,58.65,,12.91,Beneish M-Score,9.34,33.65,ROIC,,10,AbbVie Inc.,152.12,-0.9893257,-1.52,Buy,8868282,1349043057.8400002,268498884868.0,31.24063007,4.8855,Health Technology,Pharmaceuticals: Major
9,ABCB,-12.16,45.45,0.1,9.1,6.3,,22,,8.8,48.59,2.48,13.67,44.79,,,,,,,,,,,,0.14,1.52,,,7.36,,,,3.88,,,1.52,9.2,16.27,,,,,,,28.14,,,0.83,9.16,9.16,0.61,2.6,,0.29,0.42,,4.92,0.72,0.73,,,4.8,9.73,0.86,0.59,1.26,,1.2,,,9.35,,,,-44.63,11.86,,,10,Ameris Bancorp,39.39,-0.53030303,-0.21,Sell,1365812,53799334.68,2723396585.0,9.16302224,4.3096,Finance,Regional Banks
