Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Industry
ZYXI,"Zynex, Inc.",8.29,-3.60465116,-0.31,Neutral,4596498,38104968.42,297822575,18.25589077,0.463,Health Technology,Medical Specialties
ZYNE,"Zynerba Pharmaceuticals, Inc.",1.39,2.96296296,0.04,Buy,1472798,2047189.22,74975807.00000001,,-0.7997,Health Technology,Pharmaceuticals: Major
ZYME,Zymeworks Inc.,6.8,0.29498525,0.02,Sell,377342,2565925.6,465650948.00000006,2.46412524,,Health Technology,Pharmaceuticals: Major
ZWS,Zurn Elkay Water Solutions Corporation,28.46,0,0,Sell,2220774,63203228.04,4922093351.999999,104.67083487,0.2765,Producer Manufacturing,Industrial Machinery
ZVSA,"ZyVersa Therapeutics, Inc.",0.149,-0.33444816,-0.0005,Sell,6038165,899686.585,5422734,,-6.5646,Health Technology,Pharmaceuticals: Major
ZVRA,"Zevra Therapeutics, Inc.",5.13,0.1953125,0.01,Neutral,223186,1144944.18,174098596,,-0.9446,Health Technology,Pharmaceuticals: Major
ZVIA,Zevia PBC,2.67,-3.26086957,-0.09,Sell,233916,624555.72,190511976,,-0.3865,Consumer Non-Durables,Beverages: Non-Alcoholic
ZURA,Zura Bio Limited,6.06,-11.91860465,-0.82,Strong Sell,627567,3803056.02,264177706,,,Health Technology,Biotechnology
ZUO,"Zuora, Inc.",8.76,-0.22779043,-0.02,Sell,2214290,19397180.4,1230946419.0000002,,-0.8209,Technology Services,Packaged Software
ZUMZ,Zumiez Inc.,16.58,-3.2672112,-0.56,Sell,537874,8917950.92,328422372,,-0.4372,Retail Trade,Apparel/Footwear Retail
ZTS,Zoetis Inc.,180.25,-1.36259166,-2.49,Sell,3262647,588092121.75,82972120239,37.92421469,4.7646,Health Technology,Pharmaceuticals: Major
ZTR,Virtus Total Return Fund Inc.,5.17,0.19379845,0.01,Sell,153135,791707.95,249222000,,-0.8192,Miscellaneous,Investment Trusts/Mutual Funds
ZTO,ZTO Express (Cayman) Inc.,25.16,0.23904382,0.06,Neutral,6692224,168376355.84,20723144235.48899,17.50382635,1.4733,Transportation,Air Freight/Couriers
ZTEK,Zentek Ltd.,1.28,3.22580645,0.04,Sell,16994,21752.32,128700322.37714285,,-0.12408114,Non-Energy Minerals,Other Metals/Minerals
ZTAX,X-Square Series Trust X-Square Municipal Income Tax Free ETF,25.545,1.16831683,0.295,Buy,517,13206.765,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZSPY,ASYMmetric ETFs Trust ASYMmetric Smart Alpha S&P 500 ETF,28.5231,-2.42241167,-0.7081,Sell,30,855.693,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZSL,ProShares UltraShort Silver,19.98,-3.47826087,-0.72,Buy,417004,8331739.92,,,,Miscellaneous,Investment Trusts/Mutual Funds
