Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,52.57,1.5,7.9,7.7,13.5,33.2,24.7,10.5,51.25,1.03,2.39,52.28,6.26,,0.99,0.58,2.61,116.07,53.51,73.66,1.6,0.47,,0.18,0.68,28.2,23.71,27.43,24.3,21.31,5.87,5.92,3.55,0.54,21.57,3.77,0.71,24.33,17.15,9.5,3.53,149.3,50.71,14.21,,,18.15,,19.76,6.66,31.67,26.56,2.21,5.75,,0.85,1.67,,26.79,5.71,1.18,,,22.27,34.39,1.84,2.08,27.61,1.97,11.55,64.95,15.98,22.07,,14.5,,2.21,45.98,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,38.3,1.4,10.2,,,,,5.8,26.06,1.49,,32.97,0.98,,0.31,0.52,1.45,86.07,58.94,24.77,11.68,0.43,,,1.49,,37.5,,14.1,5.24,0.53,0.55,,0.3,,,1.49,60.98,,,,40.2,7,,,,,,,1.13,,,,0.47,,,,,,,,,,54.29,,,0.94,1.13,0.74,,,,,,,,0.47,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,57.47,,10.4,,,,,27,60.24,,,58.51,0.76,,0.34,0.19,0.62,20.89,20.46,14.17,12.45,,,,,13.13,13.13,35.53,11.01,6.84,0.77,0.81,7.62,,2.29,12.4,,5.35,,34.88,3.56,20.54,22.37,1.87,,,1.56,,7.6,,13.53,6.55,,0.19,,,,,8.72,,0.42,,,2.66,,,,,0.51,1.25,8.53,7.75,,,4.5,,29.9,9.99,,,8,8696254174.0,Airlines,Transportation
AAON,43.41,72.65,,23.5,10.5,20.6,22,,22.6,85.4,0.65,14.96,77.29,17.77,,,,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.39,30.85,25.59,218.31,,,,5.81,3.24,0.72,2.66,0.45,0.39,,19.65,,,81.5,32.77,42.97,,,15.18,,18.83,9.69,39.77,39.77,3.26,6.06,,2.52,19.82,,228.67,4.66,1.24,,40.53,54.18,120.05,2.07,7.45,12.29,1.5,19.51,38.13,29.02,27.91,,22.62,,0.38,84.79,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,46.84,5.1,,192.4,8,16.8,,10.4,28.35,130.79,,39.92,1.9,,0.06,0.08,1.23,275.59,217.45,25.94,6.26,1.51,,0.77,3.55,22.38,11.74,,20.13,10.56,0.64,0.66,4.47,0.22,,,1.58,17.33,16.1,,2.05,207.9,41.67,3.92,,,1.72,,2.98,1.42,20.29,15.04,1.62,0.34,,1.02,,,,1.54,0.29,,,14.08,,2.48,0.53,3.56,0.27,1.6,6.46,4.79,7.26,,3.59,,,8.06,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,22.71,49.65,2.9,1.3,5.7,20.9,23.2,14.6,15.7,51.95,0.69,3.9,49.98,8.53,,0.55,0.68,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.51,24.23,22.14,27.53,24.49,22.41,7.58,7.63,4.13,0.21,27.71,3.66,0.51,28.99,21.17,12.46,2.68,178.43,45.03,40.5,,,26.16,,30.76,39.43,29.42,29.42,1.74,7.73,,1.21,1.32,,27.75,7.18,1.93,,,25.47,29.45,1.61,2.2,39.42,1.02,29.33,279.4,57.36,159.97,,34.58,,3.47,44.54,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,46.87,,,3.9,1.6,,,2.3,49.4,6.86,3.44,45.16,0.63,,1.18,0.05,2.56,,145.67,6.48,6.78,1.41,,1.57,5.93,22.78,11.86,30.06,,,,6.7,4.39,0.4,22.3,7.26,6.02,,5.22,,,34.35,62.84,1.88,,,14.66,,27.6,1.13,26.5,26.5,26.5,3.86,,2.2,1.49,9.84,17.32,1.15,0.5,,,9.05,18.29,,1.02,1.13,2.56,2.15,556.85,4.48,5.34,,4.22,,3.94,28.91,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,9.15,74.85,,,9.6,18.2,8.3,16.6,13.4,77.66,7.15,7.65,76.42,2.14,,0.38,0.22,0.96,66.58,52.46,75.76,3.62,5.02,,0.67,3.44,34.99,21.2,14.4,14.18,13.6,6.56,6.55,2.86,0.09,45.53,8.05,3.56,15.41,26.48,9.5,1.38,135.77,62.42,6.64,,,8.95,,24.92,25.41,63.77,19.64,0.99,5.75,,1.23,0.45,,12.54,,1.28,,,12.16,19.72,0.84,1.42,,0.84,3.54,206.51,9.61,34.02,,9.33,,7.75,38.01,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,46.84,,631.1,,,,,215.7,50.4,,,46.85,3.3,,7.13,9.73,8.34,330,3766.17,358.81,,0.07,,,,,,,,,8.29,14.91,,0.78,,,,,,,,1.6,96.92,,,,,,,1.25,,,,29.84,,,,,,,,3.23,2.5,358.22,,,,1.46,8.33,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,11.84,37.85,,10.1,15.8,5.3,6.9,2,15.3,37.43,8.02,,36.67,3.78,,0.52,4.74,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,5.85,12.43,8.75,11.31,9,6.74,2.19,2.35,8.05,0.65,20.35,8.15,5.85,13.59,10.87,6.94,5.41,3.43,50.3,19.12,,,18.29,,22.51,2.28,13.51,12.96,5.63,2.5,,,,,12.29,1.7,0.44,,,9.16,14.14,,0.81,4.96,0.79,10.98,52.73,15.37,17.44,,18.54,,5.37,12.29,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
