Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,10.87,57.43,1.5,7.9,7.7,13.5,33.2,24.7,10.5,62.27,1.01,,59.3,6.7,0.85,0.65,139.99,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.67,29.4,24.87,27.09,24.89,21.8,6.11,6.32,3.4,0.57,23.33,3.77,0.68,24.52,15.84,5.44,2.44,135.16,50.63,14.64,,18.84,,19.54,6.57,33.09,26.31,2.19,6.23,,0.76,1.54,,26.82,5.1,1.24,,,21.77,32.77,2,2.11,22.26,1.64,11.49,63.42,15.6,20.99,,14.11,,2.7,45.9,,,10,33913792728.0,Medical Specialties,Health Technology
AA,22.14,50.34,1.4,10.2,,,,,5.9,64.73,1.21,24.89,56.85,1.23,0.44,0.55,33.29,1.55,79.98,58.53,26.31,10.94,0.65,,,1.21,,42.38,,28.5,9.72,0.87,0.92,,0.27,,,1.21,59.23,,,2.82,39.24,8.14,,,,,,1.55,,,,0.56,,,,,,,,,,18.35,,,1.47,1.61,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAON,40.29,62.99,,26.3,8.1,29.5,31.8,,29.5,74.29,0.55,6.14,67.7,19.38,,,91.95,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.36,30.26,24.8,71.74,,,,6.16,3.3,0.73,8.59,1.38,0.36,41.14,20.54,18.37,11.35,78.3,36.27,88.05,,15.61,,20.32,10.05,41.42,41.42,1.65,6.45,,2.09,6.01,,75.09,4.85,1.27,,48.65,33.96,52.96,1.66,6.76,12.77,1.7,19.5,39.13,29.71,25.86,,21.83,,0.6,84.36,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,52.75,3.6,,26,,,,8.9,60.92,34.63,,55.96,1.29,0.09,0.11,61.92,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.62,70.9,17.47,15.18,20.84,11.01,0.63,0.63,1.41,0.21,4.18,12.76,1.62,17.04,6.61,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.44,89.74,89.74,,0.32,,,,,7.83,3.85,0.29,,,5.47,12.18,,0.54,3.72,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.12,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,27.56,60.99,2.9,1.3,5.7,20.9,23.2,14.6,15.7,78.84,0.59,23.03,66.22,10.13,0.47,0.61,226.4,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.1,25.77,33.39,25.97,24.08,8.29,9.03,3.56,0.2,27.06,3.03,0.44,30.49,19.85,10.44,5.62,182.78,45.96,120.35,,26.44,,31.27,51.69,34.46,34.46,2.04,9.14,,1.3,1.46,,33.65,8.9,2.11,,,31.08,36.28,1.99,2.56,51.69,0.91,29.81,269.91,59,151.08,,35.41,,3.25,49.87,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,15.96,61.31,,,9.7,8.1,22.2,18.4,8.5,68.74,6.25,9.38,62.76,0.71,0.99,0.07,26.03,1.84,,145.05,6.23,6.69,1.44,,1.49,5.09,23.37,12.33,22.64,,,,7.09,4.28,0.4,31.33,8.8,5.13,34.71,8.32,,2.7,27.16,62.62,1.87,,15.39,,27.37,1.33,29.25,29.25,12.72,4.42,,2.34,1.14,11.27,14.1,1.32,0.57,,,9.6,19.31,,1.16,1.35,1.84,2.29,628.91,4.67,5.7,,4.27,,3.94,32.14,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,14.76,72.08,,,7.8,9.6,49.1,7.4,3.8,80.54,5.11,,75.68,2.04,0.31,0.19,196.53,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.13,42.21,22.33,22.72,16.29,15.66,7.27,7.34,2.37,0.05,32.33,5.13,3.16,18.07,20.07,7.41,5.2,146.22,62.76,5.48,,9.71,,24.95,51.11,65.38,18.33,1.18,6.32,,0.75,0.59,,19.56,,1.44,,,18.66,32.97,1.28,1.76,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.9,42.56,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,40.98,,8.7,,,,,,43.83,,,40.87,1.93,9.52,9.3,2.64,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.08,,0.79,,,,,,,31.92,1.13,,,,,,,0.69,,,,22.81,,,,,,,,2.11,1.65,,,,,0.8,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,65.76,,2.2,20.8,5.4,3.2,9.8,11,58.76,10.17,,65.72,3.72,0.44,4.44,2.36,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.4,9.12,6.82,9.42,9.41,7.18,2.26,2.19,10.96,0.66,25.65,11.05,6.4,13.49,14.55,5.17,6.56,2.62,50.83,7.5,,17.86,,24.06,2.13,12.97,12.42,2.53,2.54,,,,,10.02,1.71,0.47,,,7.88,11.09,1.82,0.75,4.92,0.79,10.57,68.13,19.18,16.5,,16.25,,5.93,12.42,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,18.75,60.06,2,8.4,5.9,40.8,24.6,,11.1,66.66,2.02,34.01,61.51,3.1,0.05,0.04,54.63,1.44,,,58.62,2.69,0.76,,0.28,1.65,11.68,9.14,13.65,11.74,9.49,0.56,0.58,8.56,0.37,4.23,10.13,1.66,14.79,26.23,,2.09,50.8,,4.81,,3.04,,4.88,1.86,14.3,17.4,1.08,0.43,,0.86,0.82,,10.25,,1.1,,,8.79,9.47,0.87,0.94,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.48,27.87,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
