Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,15.53,45.76,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,25.36,1.01,,38.78,6.06,0.74,0.61,137.2,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.67,25.16,21.81,28.87,24.55,21.46,5.99,6.3,3.97,0.54,21.81,3.59,0.68,24.25,15.65,4.91,2.34,133.71,54.39,17.3,,21.75,,22.9,6.68,28.46,26.33,2.19,6.2,,0.77,1.63,,28.47,5.46,1.23,,,22.55,28.37,2.04,2.11,25.5,1.37,13.03,74.15,18.1,23.78,,16.15,,3.23,44.26,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,33.06,1.4,10.2,,,,,75.95,5.9,16.78,1.41,4.15,27.68,1.17,0.44,0.55,28.53,1.55,79.98,58.53,26.31,10.94,0.65,,,1.41,,38.51,,7.34,4.68,0.83,0.84,,0.27,,,1.41,10.27,,,2.67,39.39,8.14,,,,,,1.31,,,,0.51,,,,,,,,,,16.47,,,1.26,1.38,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,60.55,,10.4,,,,,597.78,27,80.94,,,68.75,0.66,0.34,0.21,10.82,0.6,20.92,21.96,14.01,19.76,,,,,19.08,19.08,,10.21,6.09,0.68,0.71,5.24,,,,,5.99,,,4.03,16.59,20.23,1.4,,,,5.34,,,11.17,,0.14,,,,,,,0.33,,,3.46,,,,,0.5,,5.17,4.89,,,12.18,,44.08,8.06,,,8,8696254174.0,Airlines,Transportation
AAP,,17.7,3.6,,26,,,,,8.9,3.77,53.66,,11.15,1.72,0.09,0.12,39.76,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.51,129.4,16.55,16.75,22.08,10.59,0.52,0.52,0.77,0.21,3.13,14.85,2.51,14.11,6.59,84.32,,147.64,39.48,0.41,,,,0.3,0.91,3976,3976,,0.21,,,,,6.72,20.08,0.19,,,4.36,14.37,,0.35,2.28,0.3,,0.91,0.64,,,0.32,,,5.31,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,13.3,46.48,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,32.14,0.61,22.53,41.21,9.99,0.47,0.61,220.86,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.44,27.6,25.31,32.78,25.55,23.44,8.03,8.87,3.62,0.2,27.06,3.11,0.45,29.53,19.9,11.13,6.01,183.73,45.96,120.35,,26.44,,31.27,50.42,33.61,33.61,1.99,8.91,,1.27,1.43,,32.87,8.68,2.06,,,30.32,35.38,1.94,2.5,50.42,0.91,29.81,269.91,59,151.08,,35.41,,3.31,48.64,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,22.64,52.19,,,9.7,8.1,22.2,18.4,28.45,8.5,31.86,6.28,22.64,45.84,0.71,0.99,0.07,26.02,1.84,,145.05,6.23,6.69,1.44,,1.49,5.11,23.51,12.41,22.78,,,,7.14,4.25,0.4,31.33,8.8,5.13,36.65,8.27,,2.74,27.05,62.62,1.87,,15.39,,27.37,1.33,29.24,29.24,12.71,4.41,,2.34,1.14,11.28,14.17,1.32,0.57,,,9.64,19.39,,1.16,1.35,1.84,2.29,628.91,4.67,5.7,,4.27,,3.88,32.12,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,27.54,54.89,,,7.8,9.6,49.1,7.4,26.06,3.8,34.09,5.19,2.57,46.72,2.02,0.31,0.19,193.4,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.18,41.6,22.01,22.39,14.34,13.97,6.76,7.24,2.4,0.05,32.33,5.2,3.21,16,20.17,7.26,5.14,146.33,62.76,5.48,,9.71,,24.95,50.36,64.47,18.07,1.17,6.4,,0.74,0.58,,19.76,,1.42,,,18.87,33.32,1.26,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,41.95,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,34.9,,8.7,,,,,,,22.5,,,30.8,1.83,9.52,9.3,2.38,10.96,,,406.96,,0.07,,,,,,,,,8.29,3.56,,0.79,,,,,,,32.02,1.06,,,,,,,0.64,,,,21.32,,,,,,,,1.9,1.49,,,,,0.72,10.96,,,,,,,,0.76,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,56.32,,2.2,20.8,5.4,3.2,9.8,60.73,11,56.19,10.28,,54.86,3.72,0.44,4.44,2.33,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.47,9.03,6.75,9.44,8.8,6.76,2.14,2.17,11.07,0.66,25.65,11.19,6.47,12.66,14.53,5.05,6.54,2.66,50.83,7.5,,17.86,,24.06,2.16,12.8,12.26,2.5,2.55,,,,,10.13,1.73,0.47,,,7.95,11.25,1.83,0.76,4.96,0.79,10.57,68.13,19.18,16.5,,16.25,,5.94,12.94,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,3.31,38.84,,50.3,,28.2,37.8,,8.08,24,20.23,,12.73,32.84,2.67,0.03,0.02,221.89,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.95,11.84,,10.9,9.98,0.55,0.61,7.72,0.32,,,,7.48,30.37,,8.25,255.97,17.75,4.56,,2.51,,6.31,1.33,11.38,7.67,0.24,0.3,,0.22,,,,,0.97,,,40.75,,0.31,0.51,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.13,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,16.4,33.7,2,8.4,5.9,40.8,24.6,,23.18,11.1,13.89,2.16,27.87,25.23,3.12,0.05,0.04,51.29,1.44,,,58.62,2.69,0.76,,0.28,1.77,11.96,9.37,13.98,12.03,9.72,0.58,0.59,8.36,0.37,4.23,10.79,1.77,13.89,26.02,,2.09,50.88,,4.81,,3.04,,4.88,1.75,13.43,16.33,1.01,0.41,,0.81,0.77,,9.63,,1.03,,,8.24,8.87,0.82,0.89,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.43,26.17,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,35.52,,38.3,,,,,322.31,8,34.05,,,36.21,3.17,0.71,4.95,114.3,1.41,,29.97,7.3,1.12,0.28,,,,32.72,31.88,14.83,18.49,18.19,5.28,6.14,3.06,0.3,41.38,5.92,,24.84,,,10.6,165.82,82.59,20.75,,46.11,,15.21,9.2,15.8,15.8,,7.24,,,,,17.49,2.63,,,18.41,17.43,13.16,,,10.04,1.41,21.22,720.92,19.41,63.33,,55.65,,3.88,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,7.82,63.11,0.7,6.3,12.3,6.8,6.7,,,5.8,60.06,3.55,,63.28,5.3,0.52,0.49,113.86,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.9,28.72,19.72,36.14,19.9,17.34,4.55,5.02,3.48,0.54,13.88,2.85,1.94,22.14,12.9,8.41,6.41,106.7,55.24,10.7,,13.65,,15.92,5.04,35.92,25.59,2.23,4.91,,0.81,1.67,,35.22,5.25,1.16,,,25.19,46.15,2.63,1.93,24.23,1.18,7.63,64.74,12.05,14.52,,10.37,,3.08,41.55,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,3.16,39.77,,6.9,,13.2,4.1,,3.27,5.9,19.27,0.24,,32.96,3.02,0.24,0.15,81.78,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.24,21.79,12.12,285.57,,,1.61,1.91,4.59,0.63,0.67,0.41,0.24,19.01,20.23,,,70.72,19.03,5.57,,6.05,,7.68,1.65,27.17,27.23,1.35,1.68,,,,,248.63,2.12,,,,17.94,27.79,1.54,1.16,3.7,1.36,4.09,12.41,6.71,6.29,,4.98,,0.62,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,46.83,,,,38.8,40.9,46.1,223.57,16.4,44.56,,,46.96,2.07,1.48,8.69,16.07,2.16,197.37,87.05,38.64,1.68,0.11,,,,98.5,65.57,27.91,13.66,10.91,2.19,2.52,1.02,0.57,9.04,3.02,,19.34,,,16.93,32.69,91.73,,,3.43,,2.56,5.15,89.28,89.28,4,3.01,,,,,33.13,5.09,,25.92,8.04,33.13,136.18,,,6.51,1.95,4.03,40.04,4.61,7.04,,7.75,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,52.91,,12.2,,,16.9,,,10.9,35.93,,,47.65,2.35,0.14,0.04,76.43,1.18,18.83,519.12,44.07,8.34,0.67,,,,95.94,38.7,,13.84,11,2.58,3,1.04,0.52,,,,19.27,,15.92,10.11,86.26,96.46,5.51,,,,17.58,2.37,,21.42,,2.32,,,,,,3.28,1.03,,,67.11,,,2.25,11.34,1.17,,3.96,2,,,,,,238.94,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,31.48,,100.9,,,,,,,13.28,,,24.65,,4.31,,,4.49,,,,,,,,,,,,,,16.59,,,,,,,,,8.74,,,,,,,,,3.27,,,,,,,,,,,,4.92,4.63,,,,,3.13,4.49,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,29.26,,18.8,33.9,6,,,132.17,4.2,8.53,2.58,,21.06,3.59,0.04,0.02,18.47,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.58,13.09,5.69,29.94,11.82,6.04,0.31,0.31,7.64,0.11,1.05,7.76,2.58,7.78,20.09,,1.68,21.82,27.84,3.99,,1.41,,2.43,3.67,9.62,7.05,0.52,0.14,,,,,13.18,,,,,3.96,11.74,0.78,0.72,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.7,28.42,,,7,13551493187.000002,Food Retail,Retail Trade
ACLS,,33.35,0.9,22.7,,62.7,72,31,57.41,34.8,17.33,,,27.69,8.38,2.25,12.33,96.86,4.42,179.55,30.91,63.45,0.15,0.05,,,,9.85,9.37,18.22,,10.46,2.5,2.51,10.15,0.73,13.75,4.83,,13.1,23.47,,4.24,120.34,44.63,48.8,,21.54,,23.4,3.38,13.36,13.36,0.27,2.84,,,,,20.87,1.42,1.33,16.22,4.36,18.61,22.27,0.53,1.41,3.38,3.26,19.31,74.1,28.93,28.19,,33.01,,1.79,32.65,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,40,63.47,,,,2.6,0.1,,,,68.02,,,65.05,9.07,5.85,6.96,71.35,6.01,,,69.04,,0.15,,,,,,,,,34.87,23.08,,0.66,,,,,,,6.07,0.0,,,,,,,7.75,,,,24.64,,,,,,,,14.18,13.51,,,,,7.86,6.01,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,6.48,45.31,4.6,,,0.1,22.9,46.8,,7.7,22.16,0.88,1.77,37.21,2.28,0.26,0.55,94.05,1.13,,55.01,59.44,3.29,1.31,,0.21,0.88,19.2,15.46,20.37,13.05,11.59,1.82,0.9,5.21,0.19,4.4,5.52,0.92,18.9,8.45,13.58,7.45,97.78,6.58,4.87,,1.61,,5.59,5.55,50.56,23.42,8.36,0.84,,,,,18.82,,1.77,,,16.06,24.57,,1.75,,1.13,2.22,88.12,13.4,11.18,,10.64,,3.73,146.95,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,,62.63,0.3,15.1,11.9,7.8,16.1,6.2,17.95,13.6,53.75,2.48,,61.58,7.42,0.3,1.2,339.84,1.16,,20.04,71.1,0.43,0.17,,0.42,1.49,22.67,19.7,24.53,19.01,16.48,3.13,3.3,4.41,0.51,13.44,4.07,1.49,26.6,14.09,6.35,4.67,326.63,32.58,171.01,,10.79,,14.2,7.67,31.12,28.61,2.55,3.33,,1.46,0.97,,24.96,7.25,1.2,,,23.66,35.99,2.77,1.69,41.34,1.16,13.46,227.4,27.32,26.23,,19.64,,3.01,37.63,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,,50.26,,,,,,,,30.6,43.67,,,48.34,3.19,0.66,2.48,18.16,1.49,,469.19,121.47,,0.24,,,,,,,,,3.77,5.3,,0.45,,,,475.45,,,29.29,17.39,50.64,,,,,,6.63,,,,5.46,,,,,,,,,49.08,522,,,,25.94,1.49,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,,54.67,1.7,9.4,,17.7,14.1,11.4,,16.8,43.19,,,52.24,13.07,0.85,1.32,563.45,1.16,,49.57,33.69,0.82,0.41,,,,38.02,33.59,39.23,22.66,21.17,10.45,12.23,2.63,0.5,31.17,2.55,,27.38,20.54,13.84,11.17,588.7,88.24,58.8,,24.86,,35.4,17.04,50.62,32.53,1.52,12.6,,0.95,1.17,,40.35,18.18,0.98,,,39.01,57.38,1.79,2.58,228.12,1.16,17.46,275.62,32.26,32.8,,22.15,,2.37,74.23,,,10,241068062221.0,Packaged Software,Technology Services
ADC,19.78,76.63,,5.9,6.7,5.7,1.7,14.6,3.33,5.9,86.46,5.47,26.14,79.71,1.71,0.07,,75.04,0.9,,535.71,52.31,5.24,0.52,,1.65,3.99,36.35,20.36,25.42,29.92,18.32,16,17.79,2.75,0.65,69.98,5.4,4.03,40.94,11.51,3.51,9.9,74.0,87.98,3.02,,32.09,,48.78,1.51,41.69,41.76,6.74,12.87,,3.34,1.33,18.13,18.35,1.84,1.03,,,18.35,,6.36,1.1,1.82,0.9,2.43,,3.76,3.63,,3.67,,,33.65,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADI,12.46,42.98,,30.2,11.6,25.1,26.1,12.4,8.32,17.3,30.37,2.99,6.88,39.16,5.55,0.79,0.31,213.64,1.69,139.48,41.5,48.27,1.9,0.23,,0.81,1.69,53.32,26.81,38.78,27.86,21.75,10.79,11.78,1.88,0.72,30.39,2.78,1.72,28.22,17.65,12.29,,153.9,57.85,7.22,,17.07,,23.16,3.01,64.16,48.52,3.98,10.96,,2.45,1.64,,36.19,,1.6,,,26.74,33.74,3.27,1.75,,1.24,3.39,48.07,4.69,4.66,,4.47,,1.83,50.15,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,43.79,2.6,9.4,7.7,25.1,24.8,,89.18,15,32.66,4.31,7.04,41.14,3.27,0.04,0.06,59.47,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.28,10.16,7.93,12.61,13.31,9.61,0.46,0.45,9.84,0.42,3.56,11.11,3.35,11,22.26,,,78.53,7.44,4.48,,2.93,,3.39,1.28,11.89,10.88,0.59,0.35,,,,,10,0.95,0.86,,,6.59,8.59,0.49,1.73,1.87,0.88,4.77,18.59,10.96,10.87,,5.18,,16.45,12.68,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,36.8,0.1,22.6,,89.8,,,,6.1,23.79,,,33.65,1.82,0.24,0.35,21.12,1.08,21.59,65.9,45.85,3.8,1.32,,,,10.81,5.37,11.77,8.84,4.84,0.24,0.24,9.25,0.21,2.05,16.56,,7.55,,20,,39.43,6.28,2.09,,0.5,,2.67,0.96,28.54,7.91,,0.14,,,,,6.72,,,,,3.54,8.78,,0.65,,0.87,0.79,24,5.88,3.46,,7.03,,13.27,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,3.35,57.61,1.2,,13.8,15.3,15.1,13,20.5,9.9,34.58,3.53,6.44,50.6,2.62,0.06,0.79,269.56,1.01,,2.97,62.22,0.64,0.82,,0.59,2.02,21.2,19.15,30.88,20.76,18.89,5.48,5.78,4.72,0.08,18.72,3.27,2.06,26.87,14.58,8.81,5.54,266.42,45.44,13.74,,19.54,,25.85,24.2,29.59,29.36,2.43,5.76,,1.32,1.61,,30.86,12.93,1.21,,,26.66,46.99,2.45,2.61,128.36,1.01,6.8,497.94,59.7,91.62,,7.53,,3.02,41.6,,,10,101064499899.00002,Data Processing Services,Technology Services
ADT,17.44,38.08,,3.7,,,,,,,24.79,2.52,,32.99,0.49,0.03,0.01,7.01,0.75,99.17,116.01,32.51,3.42,2.03,,0.37,2.52,15.34,6.32,14.08,,5.11,2.81,2.94,6.52,0.24,20.86,15.91,3.07,8.88,11.77,26.67,2.63,6.66,81.58,2.1,,13.82,,22.19,1.68,9.47,14.22,,1.4,,,,,6.72,,,,,3.83,5.44,,0.56,,0.59,4.07,28.19,6.32,18.83,,4.34,,26.72,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,49.57,45.13,,9.9,,22.2,30.1,,18.33,10.6,22.42,,25.44,36.53,9.09,1.17,3.5,126.37,2,,10.69,36.33,0.43,0.05,,,,21.63,19,22.37,14.39,14.12,1.64,1.99,4.62,0.83,8.9,4.34,,21.6,23.69,13.03,13.99,109.23,32.34,9,,6.18,,9.03,2.48,29.95,25.12,1.34,1.9,,0.95,0.61,,21.27,3.88,1.23,,22.85,19.27,23.2,1.23,1.21,13.5,2,6.73,148.57,11.63,9.3,,9.04,,1,53.1,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,3.72,65,,6.5,8,7.3,6.3,10.2,5.28,6.9,56.61,4.31,10.18,62.49,0.87,0.01,,83.16,0.67,74.06,86.49,26.35,5.01,1.54,,0.61,3.12,20.15,11.3,,18.35,10.53,4.8,5.58,4.96,0.27,,,3.22,16.94,0.89,7.54,3.26,80.72,50.31,3.09,,16.28,,26.85,1.92,18.81,19.61,3.57,3.07,,1.31,,,,1.32,1.19,,,8.82,,2.87,,1.99,0.45,2.88,5.92,5.36,10.43,,4.04,,,21.16,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,44.68,,99.7,,,,,52.85,46.7,40.46,,,42.83,16.66,4.68,7.93,13.53,9.31,357.33,69.43,54.67,0.54,0.06,,,,36.8,32.42,368.3,,,,5.6,2.72,0.87,1.52,0.25,,44.33,,,24.21,24.44,49.15,,,50.07,,15.22,3.51,12.07,11.27,,6.01,,,,,436.13,1.33,2.42,11.97,4.81,233.15,20.22,,4.3,3.51,5.75,31.03,24.62,10.7,37.59,,56.45,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEM,59.43,44.73,,20.5,20.8,11.4,7.9,4,4.55,3.1,21.62,8.94,39.79,35.91,3,0.52,0.47,76.89,1.51,106.42,52.57,0.4,0.72,0.1,,0.59,2.1,32.35,14.48,30.55,13.04,8.54,4.67,5.53,3.09,0.68,18.06,3.43,2.1,18.78,19.4,17.66,7.63,56.8,36.6,20.97,,8.56,,29.57,1.9,62.51,28.16,1.1,5.25,,,,,28.95,1.73,1.21,,,12.81,38.06,1.62,1.84,2.39,0.76,2.16,5.78,4.54,3.17,,4.24,,1.89,51.6,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,18.37,36.43,,10.5,45.5,,,66.4,90.5,5.8,22.58,2.21,,30.81,4.11,0.24,0.15,18.88,1.57,75.18,28.64,16.47,1.99,0.78,,0.29,2.53,11.13,7.28,16.45,10.35,7.05,0.9,0.89,8.98,0.48,5.42,8.09,2.66,10.52,0.92,11.25,3.4,18.05,39.18,,,4.58,,8.01,2.14,15.1,11.37,,0.71,,,,,12.6,1.13,0.85,,,7.82,23.23,,1.21,2.54,0.74,7.04,18.72,16.01,14.43,,11.24,,12.19,16.86,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,28.69,67.57,,5.1,5.9,3.4,0.9,1.3,4.72,6.7,67.81,4.64,17.12,69.02,0.93,0.04,0.01,102.05,0.65,83.79,105.01,18.99,5.86,1.7,,0.69,3.5,23.03,13.05,,17.81,11.26,4.47,5.06,4.34,0.26,,,3.5,17.05,1.55,13.47,4.75,93.52,60.67,2.21,,13.49,,20.7,2.08,20.45,20.34,3.7,2.74,,,,,,1.37,1.2,,,8.9,,3.93,13.27,2.08,0.48,2.71,5.54,5.01,10.42,,4.34,,,21.99,,,10,41234689544.0,Electric Utilities,Utilities
