Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,24.27,52.42,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,59.96,1,,53.22,6.06,,0.74,0.61,139.01,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.66,25.16,21.8,28.87,24.55,21.46,5.99,6.3,3.97,0.54,21.81,3.55,0.67,24.57,15.65,4.89,,133.81,54.39,17.3,,,21.75,,22.9,6.77,28.84,26.68,2.22,6.31,,0.78,1.65,,28.8,5.54,1.24,,,22.86,28.73,2.07,2.14,25.84,1.37,13.03,74.15,18.1,23.78,,16.15,,3.22,44.84,,,10,33913792728.0,Medical Specialties,Health Technology
AA,11.33,58.72,1.4,10.2,,,,,75.95,5.9,73.92,1.19,3.51,64.73,1.25,,0.44,0.55,34.34,1.55,79.98,58.53,26.31,10.94,0.65,,,1.19,,42.61,,8.12,5.18,0.92,0.93,,0.27,,,1.19,12.36,,,2.67,39.54,8.14,,,,,,,1.58,,,,0.58,,,,,,,,,,18.48,,,1.51,1.66,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,58.28,,10.4,,,,,597.78,27,59.46,,,60.02,0.66,,0.34,0.21,11.03,0.6,20.92,21.96,14.01,19.76,,,,,19.21,19.21,,10.28,6.13,0.68,0.72,5.21,,,,,5.92,,,4.03,16.54,20.23,1.4,,,,,5.34,,,11.41,,0.14,,,,,,,0.33,,,3.54,,,,,0.5,,5.17,4.89,,,12.18,,42.62,8.23,,,8,8696254174.0,Airlines,Transportation
AAP,6.93,33.45,3.6,,26,,,,,8.9,59.62,50.03,,39.08,1.73,,0.09,0.12,42.07,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.34,130.53,16.69,16.89,22.27,10.68,0.52,0.53,0.77,0.21,3.13,14.03,2.34,15.18,6.28,82.92,,147.53,39.48,0.41,,,,,0.3,0.96,4207,4207,,0.22,,,,,7.15,21.25,0.2,,,4.59,15.21,,0.37,2.42,0.3,,0.91,0.64,,,0.32,,,5.62,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,27.02,48.26,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,51.11,0.62,30.12,47.56,9.8,,0.47,0.61,220.69,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.45,26.91,24.68,31.97,24.91,22.85,7.83,8.65,3.72,0.2,27.06,3.11,0.46,29.5,19.96,11.24,6.08,184.32,45.96,120.35,,,26.44,,31.27,50.39,33.59,33.59,1.99,8.88,,1.26,1.42,,32.81,8.67,2.06,,,30.29,35.36,1.94,2.49,50.39,0.91,29.81,269.91,59,151.08,,35.41,,3.4,48.61,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,24.41,61.89,,,9.7,8.1,22.2,18.4,28.45,8.5,72.78,6.04,20.23,64.47,0.74,,0.99,0.07,27.11,1.84,,145.05,6.23,6.69,1.44,,1.49,4.92,23.98,12.65,23.24,,,,7.28,4.17,0.4,31.33,8.45,4.93,38.18,8.11,,2.74,26.99,62.62,1.87,,,15.39,,27.37,1.38,30.46,30.46,13.24,4.65,,2.44,1.19,11.81,14.77,1.38,0.6,,,10.08,20.23,,1.21,1.41,1.84,2.29,628.91,4.67,5.7,,4.27,,3.73,33.47,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,25.96,49.74,,,7.8,9.6,49.1,7.4,26.06,3.8,36.96,5.22,8.63,43.92,2.02,,0.31,0.19,192.94,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.2,41.71,22.07,22.45,14.38,14.01,6.78,7.26,2.4,0.05,32.33,5.22,3.23,15.95,20.15,7.21,4.99,146.45,62.76,5.48,,,9.71,,24.95,50.24,64.31,18.03,1.16,6.4,,0.74,0.57,,19.66,,1.41,,,18.72,33.06,1.25,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.93,41.85,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,54.76,,8.7,,,,,,,69.42,,,61.14,2,,9.52,9.3,2.75,10.96,,,406.96,,0.07,,,,,,,,,8.29,6.24,,0.79,,,,,,,32.02,1.06,,,,,,,,0.73,,,,23.59,,,,,,,,2.2,1.72,,,,,0.83,10.96,,,,,,,,0.68,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,61.37,,2.2,20.8,5.4,3.2,9.8,60.73,11,72.68,10.01,,64.09,3.72,,0.44,4.44,2.39,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.3,9.37,7.01,9.43,8.8,6.75,2.14,2.25,10.67,0.66,25.65,10.91,6.3,13.06,14.54,4.92,6.6,2.64,50.83,7.5,,,17.86,,24.06,2.15,13.13,12.58,2.57,2.54,,,,,10.17,1.73,0.48,,,7.96,11.27,1.84,0.76,4.98,0.79,10.57,68.13,19.18,16.5,,16.25,,6,12.58,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,1.97,42.14,,50.3,,28.2,37.8,,8.08,24,43.24,,10.61,41.17,2.66,,0.03,0.02,219.95,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.72,11.63,,10.71,9.8,0.54,0.6,7.86,0.32,,,,7.58,30.77,,6.95,257.25,17.75,4.56,,,2.51,,6.31,1.32,11.29,7.61,0.24,0.3,,0.22,,,,,0.97,,,40.39,,0.3,0.51,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.03,,,10,4632090814.999999,Specialty Stores,Retail Trade
