Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,3.79,57.66,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,56.34,0.97,0.38,59.38,5.36,,0.7,0.39,140.91,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.67,26.18,22.59,30.83,24.35,21.67,6.16,6.5,3.82,0.5,21.09,3.41,0.7,25.31,15.15,8.66,5.96,135.03,54.3,15.5,,,19.8,,22.86,6.83,31.94,26.69,2.34,6.31,,0.85,1.48,,29.93,1.04,7.38,1.25,,,23.47,30.41,2.16,2.11,45.99,1.58,11.63,68.51,17.6,21.45,,14.54,,3.4,43.71,,,10,33913792728.0,Medical Specialties,Health Technology
AA,70.27,35.34,30.62,1.4,10.2,,,,,75.95,5.9,12.98,1,3.12,25.87,1.39,,0.38,0.45,39.62,1.41,78.33,59.38,26.65,4.45,0.56,,,1.01,910.41,17.96,,5,3.88,0.96,1.11,0.11,0.36,,,1.01,11.27,,,4.18,32.14,11.35,1.6,,,,,2.02,1.95,,,,0.69,,,,,,1.23,,,,,19.17,,,1.55,2.01,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,73.25,27.85,,10.4,,,,,597.78,27,70.21,,20.96,73.72,0.7,,0.33,0.22,17.24,0.57,21.4,22.29,13.62,16.51,,,,,17.81,17.81,,8.59,5.84,0.74,0.79,5.61,,,,,7.85,,,3.96,16.31,20.34,1.4,,,0.51,,5.17,,53.27,16.17,,0.23,,,,,,1.06,,0.55,,,5.12,,,,,0.47,0.43,6.13,5.96,,,2.95,,23.94,15.29,,,8,8696254174.0,Airlines,Transportation
AAON,105.81,51.77,47.35,,26.3,8.1,29.5,31.8,,20.3,29.5,42.46,0.36,85.8,47.04,30.9,,,,131.27,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.38,35.8,105.11,,,,8.95,2.25,0.77,8.52,0.96,0.24,44.57,20.39,17.97,15.07,80.04,35.65,94.37,,,15.78,,20.14,13.49,58.31,58.31,2.32,9.14,,3.14,9.23,,107.44,1.64,6.55,1.77,,54.92,45.47,69.26,2.31,8.9,16.86,1.79,19.56,38.79,29.01,25.52,,21.87,,0.49,116.11,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,55.03,1.09,3.6,,26,,,,,8.9,44.44,47.03,,52.97,1.91,,0.08,0.12,44.04,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.2,29.33,11.58,27.74,30.67,13.86,0.71,0.49,3.41,0.21,1.77,8.03,2.2,25.27,3.51,,,101.62,40.02,2.38,,,0.36,,1.55,1.05,62.38,58.38,,0.22,,,,,12.44,0.43,2.04,0.19,,,6.53,88.6,,0.42,1.71,0.62,0.36,4.12,2.95,1.7,,1.76,,4.11,6.27,,,10,3557510972.0,Specialty Stores,Retail Trade
ABBV,11.65,37.59,,,,7.8,9.6,1.7,7.4,21.19,3.8,21.68,5.8,3.01,34.03,1.78,,0.17,0.1,173.19,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.56,37.69,20.41,23.81,13.57,13.09,6.3,6.7,2.64,0.04,28.13,5.07,3.76,14.21,16.62,7.68,5.5,150.37,67.21,5.43,,,9.22,,26.13,51.07,60.55,16.22,1.05,5.57,,0.59,0.65,,19.79,1.15,,1.26,,,18.73,34.91,1.6,1.55,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.72,37.32,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,53.77,10.45,,8.7,,,,,,,52.07,,,53.48,1.91,,8.08,9.01,2.95,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.73,,0.77,,,,,,,22.79,1.01,,,,,,,,0.79,,,,26,,,,,,2.92,,,2.66,2.03,,,,,0.88,9.34,,,,,,,,1.04,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,44.41,,,2.2,20.8,5.4,3.2,9.8,60.73,11,32.75,10.52,6.73,41.65,3.98,,0.59,6.19,2.18,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.65,10.45,7.84,10.03,9.14,7.02,2.23,2.51,9.57,0.67,25.25,9.19,6.65,12.11,15.06,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.29,16.12,15.79,3.22,2.74,,,,,10.94,0.8,1.8,0.5,,,8.64,11.7,1.83,0.77,5.04,0.9,10.03,70.19,19.21,15.52,,15.33,,5.45,13.84,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,22.47,49.71,21.48,,50.3,,28.2,37.8,,8.08,24,25.71,,10.28,42.37,2.78,,0.03,0.01,254.95,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.77,12.52,38.56,11.74,10.7,0.57,0.61,7.26,0.33,1.58,5.2,,9.34,30.4,,6.16,264.31,17.41,3.89,,,2.16,,5.9,1.49,14.47,9.5,0.3,0.31,,0.3,1.67,,19.37,0.96,,1.08,,,10.23,86.6,0.38,0.52,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.56,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,29.37,51.39,16.29,2,8.4,5.9,40.8,24.6,,23.18,11.1,39.95,1.94,11.96,47.75,2.98,,0.07,0.06,56.44,1.38,,,56.6,3.53,0.8,,0.26,1.59,16.19,11.93,18.08,12.29,9.92,0.59,0.6,6.18,0.36,3.3,7.66,1.87,15.4,25.93,,1.69,51.54,,3.58,,,1.89,,3.62,1.94,23.44,16.35,1.02,0.44,,0.88,1.15,,13.34,1.1,,1.1,,,10.85,16.41,0.82,0.97,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.16,29.39,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
