Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.4,53.04,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,42.71,0.97,2.84,51.78,5.35,0.7,0.39,139.0,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.67,26.13,22.54,30.77,24.31,21.63,6.15,6.49,3.83,0.5,21.09,3.42,0.7,24.97,15.16,8.66,5.96,135.05,54.3,15.5,,19.8,,22.86,6.81,31.88,26.64,2.34,6.3,,0.84,1.46,,29.87,1.03,7.28,1.23,,,23.42,30.35,2.13,2.08,45.9,1.58,11.63,68.51,17.6,21.45,,14.54,,3.4,43.63,,,10,33913792728.0,Medical Specialties,Health Technology
AA,56.18,33.94,24.82,1.4,10.2,,,,,75.95,5.9,11.42,1,5.32,24.25,1.39,0.38,0.45,39.12,1.41,78.33,59.38,26.65,4.45,0.56,,,1.01,912,17.99,,5.01,3.89,0.96,1.08,0.11,0.36,,,1.01,10.67,,,4.18,32.2,11.35,1.6,,,,2.02,1.95,,,,0.69,,,,,,1.21,,,,,19.21,,,1.53,2.02,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,68.21,31.06,,10.4,,,,,597.78,27,57.75,,22.47,66.3,0.69,0.33,0.22,16.92,0.57,21.4,22.29,13.62,16.51,,,,,17.71,17.71,,8.54,5.81,0.74,0.78,5.65,,,,,7.7,,,3.96,16.33,20.34,1.4,,0.51,,5.17,,52.24,15.86,,0.22,,,,,,1.04,,0.54,,,5.02,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.41,14.99,,,8,8696254174.0,Airlines,Transportation
AAON,99.84,51.85,43.04,,26.3,8.1,29.5,31.8,,20.3,29.5,42.77,0.36,78.58,47.17,30.68,,,131.32,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.01,35.5,104.25,,,,8.88,2.27,0.77,8.52,0.97,0.24,44.59,20.39,17.97,15.07,80.05,35.65,94.37,,15.78,,20.14,13.38,57.83,57.83,2.3,9.07,,3.14,9.23,,106.55,1.64,6.56,1.77,,54.95,45.09,68.69,2.31,8.9,16.72,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,115.15,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,54.41,,3.6,,26,,,,,8.9,42.96,48.53,,52.04,1.9,0.08,0.12,43.86,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.27,28.9,11.41,27.33,30.21,13.65,0.7,0.48,3.46,0.21,1.77,8.31,2.27,25.16,3.93,,,101.27,40.02,2.38,,0.36,,1.55,1.01,60.33,56.46,,0.21,,,,,12.03,0.43,2.03,0.19,,,6.32,85.68,,0.41,1.66,0.62,0.36,4.12,2.95,1.7,,1.76,,4.21,6.07,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,13.72,75.52,1.18,2.7,,4.9,6.2,6.4,8.6,,5.4,83.78,0.53,5.08,81.61,9.34,0.37,0.61,248.13,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,30.76,28.14,34.83,28.64,26.38,9.09,9.69,3.25,0.16,27.83,2.9,0.4,33.56,18.06,11.49,6.89,188.42,46.21,,,23.97,,31.51,65.77,40.78,36.73,2.31,9.78,,1.55,1.72,,35.15,1.32,10.37,2.15,,,32.34,37.66,2.34,2.74,65.77,0.83,26.93,278.63,59.87,140.28,,32.51,,3.07,53.79,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,21.45,49.94,2.43,,,9.7,8.1,22.2,18.4,28.45,8.5,45.67,5.9,25.23,47.47,0.78,4.87,0.25,27.82,5.78,,148.94,6.31,7.97,1.8,,1.38,4.85,23.02,12.29,24.22,,,,7.19,4.34,0.35,29.66,8.05,4.85,55.86,8.98,,2.18,27.79,63.33,1.92,,16.36,,28.14,1.42,28.51,28.51,12.4,4.63,,2.49,1.36,11.55,15.6,1,1.36,0.61,,,10.3,18.98,,1.23,1.44,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.52,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,10.4,38.05,,,,7.8,9.6,1.7,7.4,21.19,3.8,24.44,5.84,2.28,34.93,1.77,0.17,0.1,173.37,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.58,37.48,20.29,23.67,13.5,13.02,6.26,6.66,2.65,0.04,28.13,5.1,3.79,14.21,16.66,7.68,5.5,150.39,67.21,5.43,,9.22,,26.13,50.73,60.14,16.11,1.04,5.58,,0.59,0.65,,19.66,1.15,,1.26,,,18.6,34.67,1.6,1.56,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.73,37.06,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,47.51,6.18,,8.7,,,,,,,35.34,,,43.77,1.93,8.08,9.01,2.81,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.73,,0.77,,,,,,,22.79,1.01,,,,,,,0.77,,,,25.23,,,,,,2.78,,,2.53,1.94,,,,,0.85,9.34,,,,,,,,1.03,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.29,,,2.2,20.8,5.4,3.2,9.8,60.73,11,27.49,10.96,7.25,37.55,3.89,0.59,6.19,2.14,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.93,10.08,7.56,9.67,8.64,6.63,2.1,2.42,9.92,0.67,25.25,9.51,6.93,11.89,15.67,3.83,6.6,2.74,50.98,7.91,,16.92,,23.87,2.1,14.8,14.49,2.96,2.52,,,,,10.05,0.78,1.7,0.47,,,7.93,10.74,1.73,0.72,4.64,0.9,10.03,70.19,19.21,15.52,,15.33,,5.64,12.71,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,19.41,48.09,19.44,,50.3,,28.2,37.8,,8.08,24,21.59,,13.47,39.72,2.78,0.03,0.01,253.72,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.75,12.5,38.51,11.72,10.69,0.57,0.61,7.27,0.33,1.58,5.21,,9.29,30.43,,6.16,264.43,17.41,3.89,,2.16,,5.9,1.49,14.43,9.47,0.3,0.31,,0.3,1.67,,19.32,0.96,,1.08,,,10.2,86.37,0.38,0.52,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.53,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,8.83,49.36,10.29,2,8.4,5.9,40.8,24.6,,23.18,11.1,34.09,1.94,12.74,44.52,2.98,0.07,0.06,56.15,1.38,,,56.6,3.53,0.8,,0.26,1.59,16.13,11.88,18.02,12.25,9.89,0.59,0.59,6.2,0.36,3.3,7.7,1.88,15.32,25.96,,1.69,51.55,,3.58,,1.89,,3.62,1.93,23.32,16.27,1.01,0.44,,0.87,1.14,,13.27,1.09,,1.1,,,10.79,16.32,0.81,0.97,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.2,29.24,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,40.33,12.75,,38.3,,,,,322.31,8,20.36,,,33.21,4.78,0.99,4.98,130.95,1.62,,33.1,6.78,0.96,0.27,,,,33.89,33.04,18.89,21.84,21.49,6.27,7.17,2.95,0.38,37.96,5.03,,29.43,,,10.79,167.08,83.07,22.92,,16.96,,15.01,9.67,45.95,45.95,,7.8,,,,,20.55,0.78,4.67,,,17.72,20.55,34.32,,,10.66,1.62,7.98,839.68,21.23,22.05,,19.8,,3.98,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,7.92,37.08,,0.7,6.3,12.3,6.8,6.7,,,5.8,17.91,3.6,11.88,29.11,5.21,0.52,0.52,113.38,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.93,27.81,19.34,31.56,21.84,17.25,4.54,4.97,3.6,0.54,15.74,3.28,1.93,21.96,11.37,8.92,6.49,108.73,55.55,11.5,,13.99,,16.24,4.96,34.61,25.19,2.19,4.83,,1.35,1.58,,30.68,1.04,4.99,1.12,,,22.8,40.08,3.11,1.89,22.46,1.14,7.9,65.41,12.45,14.86,,10.65,,3.45,40.66,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,30.15,62.1,12.96,,6.9,,13.2,4.1,,3.27,5.9,66.57,0.19,21.8,62.03,2.92,1.75,0.61,109.14,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.19,28.91,15.36,47.54,,,1.94,2.31,3.46,0.56,4.86,2.3,0.19,24.69,18,26.64,11.51,77.54,19.84,4.58,,5.17,,7.87,2.16,41.06,33.44,1.66,2.12,,,,,43.62,1.41,2.67,,,,16.68,25.57,2.16,1.48,4.71,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,53.74,7.78,,,,38.8,40.9,46.1,223.57,16.4,45.27,,16.57,51.56,2.9,1.64,11.45,17.26,2.29,235.21,82.57,38.31,0.4,0.09,,,,20.99,18.92,11.62,14.4,17.76,2.3,2.54,4.76,0.59,21.82,7.06,,22.62,,,15.88,34.04,91.61,,,13.83,,12.08,4.97,22.13,22.13,0.99,3.08,,,,,14.09,0.51,2.45,,17.26,7.38,14.09,21.55,,,6.08,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,41.65,,,12.2,,,16.9,,,10.9,51.23,,,47.1,1.73,0.13,0.04,40.66,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.57,8.85,,9.12,7.2,1.64,1.8,8.64,0.52,,,,11.33,0.84,10.74,8.88,85.18,96.45,5.11,,8.99,,17.48,1.22,13.23,11.5,,1.19,,,,,,0.48,1.67,0.56,,,28.57,,,1.22,5.34,1.06,5.05,19.42,10.06,9.78,,8.25,,,118.87,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,63.92,29.31,,100.9,,,,,,,65.91,,30.89,63.62,,5.79,,,6.03,,,,,,,,,,,,,,72.73,,,,,,,,,23.13,,,,,,,,,6.51,,,,,,,,,,,,,11.19,10.49,,,,,7.63,6.03,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
