Ticker,GFValue,SmartScore,Price,Market Capitalization,Sector,Industry
A,149.32,3.0,134.07,39283060405.99999,Health Technology,Medical Specialties
AA,40.29,4.0,27.71,4945456423.0,Non-Energy Minerals,Aluminum
AAL,19.67,8.0,14.95,9770431672.0,Transportation,Airlines
AAON,82.2,7.0,78.67,6391532813.0,Producer Manufacturing,Industrial Machinery
AAP,208.07,8.0,64.14,3816457439.0,Retail Trade,Specialty Stores
AAPL,178.26,8.0,188.32,2908015116537.0005,Electronic Technology,Telecommunications Equipment
AAT,32.95,5.0,22.18,1346872278.0,Finance,Real Estate Investment Trusts
ABBV,137.64,10.0,174.79,308598262167.0,Health Technology,Pharmaceuticals: Major
ABCL,1.38,8.0,5.02,1456654687.0,Health Technology,Biotechnology
ABEV,3.42,8.0,2.56,40770897278.13771,Consumer Non-Durables,Beverages: Alcoholic
ABG,251.82,3.0,206.79,4255194534.0,Retail Trade,Specialty Stores
ABM,53.22,6.0,40.38,2538332025.0,Commercial Services,Miscellaneous Commercial Services
ABNB,163.69,5.0,150.54,97737949019.00002,Consumer Services,Other Consumer Services
ABT,106.63,10.0,112.43,195185054501.0,Health Technology,Medical Specialties
ACA,65.12,7.0,82.57,4026110212.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
ACHC,84.82,7.0,80.23,7398528214.0,Health Services,Medical/Nursing Services
ACI,21.88,6.0,21.35,12298451144.0,Retail Trade,Food Retail
ACIW,31.17,6.0,29.73,3232320891.0,Technology Services,Packaged Software
ACLS,121.05,5.0,122.25,4003376913.000001,Producer Manufacturing,Industrial Machinery
ACLX,0.0,7.0,61.56,2997121784.0,Health Technology,Biotechnology
ACM,82.48,5.0,88.49,12036719094.999998,Industrial Services,Engineering & Construction
ACN,343.17,10.0,368.48,231033975687.00003,Technology Services,Information Technology Services
ACVA,15.4,7.0,14.39,2323107461.9999995,Retail Trade,Internet Retail
ADBE,576.75,7.0,615.86,278368713379.0,Technology Services,Packaged Software
ADC,64.14,10.0,57.97,5827128406.0,Finance,Real Estate Investment Trusts
ADEA,7.44,9.0,12.95,1387887617.0,Technology Services,Packaged Software
ADI,180.74,9.0,194.06,96222631490.0,Electronic Technology,Semiconductors
ADM,84.23,3.0,52.7,28109190995.0,Process Industries,Agricultural Commodities/Milling
ADNT,41.42,2.0,33.62,3067685623.0,Producer Manufacturing,Auto Parts: OEM
ADSK,256.08,5.0,261.51,55940999770.0,Technology Services,Packaged Software
ADT,6.66,6.0,6.64,5757389312.999999,Commercial Services,Miscellaneous Commercial Services
ADUS,112.18,6.0,90.91,1474074165.0000002,Health Services,Medical/Nursing Services
AEE,97.21,5.0,67.92,17859228562.0,Utilities,Electric Utilities
AEIS,95.89,3.0,100.88,3760872365.0,Electronic Technology,Electronic Production Equipment
AEM,52.6,8.0,47.17,23319828984.565147,Non-Energy Minerals,Precious Metals
AEO,17.39,8.0,21.62,4270779191.999999,Retail Trade,Apparel/Footwear Retail
AEP,104.57,10.0,75.94,39935022944.0,Utilities,Electric Utilities
AER,64.69,10.0,77.31,16244365693.0,Finance,Finance/Rental/Leasing
AESI,0.0,7.0,17.28,2458663712.0000005,Industrial Services,Oilfield Services/Equipment
AFRM,41.05,7.0,49.22,14851347566.0,Finance,Finance/Rental/Leasing
AFYA,21.8,7.0,20.39,1911008443.0,Consumer Services,Other Consumer Services
AG,7.64,4.0,4.65,1334277109.521531,Non-Energy Minerals,Precious Metals
AGI,10.7,8.0,12.1,4801980613.769183,Non-Energy Minerals,Precious Metals
AGIO,79.26,10.0,24.18,1351451287.0000002,Health Technology,Pharmaceuticals: Major
AGL,48.11,7.0,7.09,2878830214.0,Health Services,Medical/Nursing Services
AGR,48.71,4.0,30.02,11610862730.999998,Utilities,Electric Utilities
AGRO,12.16,5.0,9.78,1052746624.0,Process Industries,Agricultural Commodities/Milling
AGYS,76.23,7.0,88.44,2419408645.0,Technology Services,Packaged Software
AHH,19.93,7.0,11.81,1050548963.0,Finance,Real Estate Investment Trusts
AI,32.16,5.0,26.84,3123242088.9999995,Technology Services,Packaged Software
AIN,100.19,7.0,89.02,2940222042.0,Process Industries,Textiles
AIR,56.14,8.0,61.35,2178085257.9999995,Electronic Technology,Aerospace & Defense
AIRC,43.66,8.0,32.26,4741984951.0,Finance,Real Estate Investment Trusts
AIT,139.8,10.0,184.55,7136449720.0,Distribution Services,Wholesale Distributors
AIV,8.11,4.0,7.51,1094655186.0,Finance,Real Estate Investment Trusts
AJG,207.06,5.0,237.03,51174775290.0,Finance,Insurance Brokers/Services
AKO.B,15.74,,15.0,2138703005.323332,Consumer Non-Durables,Beverages: Non-Alcoholic
AKR,17.31,3.0,17.17,1740603256.0,Finance,Real Estate Investment Trusts
AKRO,,1.0,18.6,1036201960.0000002,Health Technology,Pharmaceuticals: Major
AL,48.89,10.0,41.85,4646490335.000001,Finance,Finance/Rental/Leasing
ALB,441.18,7.0,114.33,13416999744.0,Process Industries,Chemicals: Specialty
ALC,,7.0,77.17,38561850477.02725,Health Technology,Medical Specialties
ALE,75.63,9.0,57.75,3319320170.0,Utilities,Electric Utilities
ALEX,15.18,4.0,17.21,1248349931.0,Finance,Real Estate Investment Trusts
ALG,195.07,9.0,216.01,2594664897.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
ALGM,38.97,9.0,30.69,5927031641.0,Electronic Technology,Semiconductors
ALGN,352.07,6.0,295.0,22593790092.0,Health Technology,Medical Specialties
ALGT,207.35,8.0,77.94,1434188034.9999998,Transportation,Airlines
ALHC,15.67,3.0,6.67,1261295528.0,Health Services,Managed Health Care
ALIT,9.0,9.0,9.23,5103517873.000001,Technology Services,Information Technology Services
ALK,60.5,8.0,36.51,4675217930.0,Transportation,Airlines
ALKS,32.57,8.0,26.77,4467412119.0,Health Technology,Pharmaceuticals: Major
ALKT,21.44,10.0,25.31,2413606750.0,Technology Services,Packaged Software
ALLE,134.42,7.0,130.52,11458032642.0,Producer Manufacturing,Building Products
ALNY,350.8,5.0,169.5,21271051220.000004,Health Technology,Pharmaceuticals: Major
ALRM,68.52,7.0,64.58,3228211269.0000005,Technology Services,Packaged Software
ALSN,58.73,7.0,61.67,5518521945.000001,Producer Manufacturing,Auto Parts: OEM
ALTR,73.57,9.0,90.11,7358541915.0,Technology Services,Packaged Software
ALV,109.68,8.0,109.5,9214242210.0,Producer Manufacturing,Auto Parts: OEM
ALX,265.04,7.0,216.82,1107362713.0,Finance,Real Estate Investment Trusts
AM,11.19,7.0,11.92,5718179148.0,Industrial Services,Oil & Gas Pipelines
AMAT,146.39,7.0,173.89,144687273323.0,Producer Manufacturing,Industrial Machinery
AMBA,57.11,1.0,54.65,2199557282.0000005,Electronic Technology,Semiconductors
AMBP,0.0,4.0,3.66,2187175529.0,Process Industries,Containers/Packaging
AMC,50.35,1.0,4.09,1076143096.0,Consumer Services,Movies/Entertainment
AMCR,12.55,5.0,9.16,13239344057.0,Process Industries,Containers/Packaging
AMD,115.11,10.0,169.35,273633515489.0,Electronic Technology,Semiconductors
AME,162.6,5.0,166.3,38381817909.0,Producer Manufacturing,Electrical Products
AMED,120.29,7.0,93.91,3064597695.0,Health Services,Medical/Nursing Services
AMEH,59.7,8.0,36.71,2139590477.0000005,Health Services,Services to the Health Industry
AMG,144.76,5.0,154.3,5216672593.0,Finance,Investment Managers
AMGN,284.02,7.0,294.85,157797230232.0,Health Technology,Pharmaceuticals: Major
AMH,37.66,6.0,35.02,12679198218.0,Finance,Real Estate Investment Trusts
AMK,30.18,4.0,31.31,2325248318.0,Finance,Financial Conglomerates
AMKR,24.83,5.0,30.17,7414823962.999999,Electronic Technology,Semiconductors
AMLX,0.0,6.0,15.46,1043824472.9999998,Health Technology,Pharmaceuticals: Major
AMN,96.31,4.0,74.96,2832673809.0,Commercial Services,Personnel Services
AMPL,0.0,3.0,13.62,1621957842.9999998,Technology Services,Packaged Software
AMR,166.74,7.0,370.91,4927017947.999999,Energy Minerals,Coal
AMRC,54.7,3.0,22.39,1169530955.0,Industrial Services,Engineering & Construction
AMRX,4.0,7.0,5.46,2504289511.0,Health Technology,Pharmaceuticals: Major
AMT,279.94,8.0,193.64,90268215608.0,Finance,Real Estate Investment Trusts
AMWD,65.65,7.0,93.38,1496544973.9999998,Producer Manufacturing,Building Products
AMX,21.7,6.0,17.29,54345613439.74727,Communications,Wireless Telecommunications
AMZN,153.28,10.0,169.84,1764192727116.9998,Retail Trade,Internet Retail
AN,184.44,7.0,147.01,6250934012.0,Retail Trade,Specialty Stores
ANDE,44.13,5.0,52.33,1766258933.0000002,Commercial Services,Miscellaneous Commercial Services
ANET,211.91,9.0,275.89,85829427339.0,Electronic Technology,Computer Peripherals
ANF,44.4,8.0,107.32,5409520540.000001,Retail Trade,Apparel/Footwear Retail
ANGI,3.28,8.0,2.37,1201957296.0,Technology Services,Internet Software/Services
ANIP,52.1,8.0,55.91,1142663272.9999998,Health Technology,Biotechnology
ANSS,351.48,6.0,345.33,29999783802.0,Technology Services,Packaged Software
AOS,76.56,8.0,80.25,11934814868.0,Producer Manufacturing,Building Products
APA,38.76,9.0,30.47,9234075190.0,Energy Minerals,Integrated Oil
APAM,36.47,9.0,42.39,3389549555.0,Finance,Investment Managers
APD,286.15,3.0,219.91,48886222663.00001,Process Industries,Chemicals: Specialty
APG,25.49,10.0,34.87,8642755047.0,Industrial Services,Engineering & Construction
APH,86.84,9.0,104.86,62900780818.0,Electronic Technology,Electronic Components
APLE,19.81,9.0,16.06,3674643593.0,Finance,Real Estate Investment Trusts
APLS,171.38,1.0,68.12,8072216687.0,Health Technology,Pharmaceuticals: Major
APO,111.11,7.0,107.41,60961116621.00002,Finance,Investment Managers
APOG,50.3,7.0,54.33,1199883429.0,Producer Manufacturing,Building Products
APP,47.49,9.0,46.55,15631562759.000002,Technology Services,Packaged Software
APPF,203.11,8.0,236.73,8633579388.000002,Technology Services,Information Technology Services
APPN,63.23,4.0,32.64,2390178112.0000005,Technology Services,Packaged Software
APTV,126.56,5.0,81.29,22682840049.0,Producer Manufacturing,Auto Parts: OEM
AQN,15.87,3.0,5.75,3962555103.664072,Utilities,Electric Utilities
AQNU,0.0,,20.72,3945633959.6614,Utilities,Electric Utilities
AR,16.84,6.0,21.63,6500766605.000001,Energy Minerals,Oil & Gas Production
ARCB,93.49,8.0,139.81,3308165586.9999995,Transportation,Trucking
ARCH,131.58,10.0,171.01,3141361435.0,Energy Minerals,Coal
ARCO,9.11,6.0,11.87,2499757207.0,Consumer Services,Restaurants
ARE,173.02,8.0,117.9,20628758324.0,Finance,Real Estate Investment Trusts
ARES,87.12,7.0,135.55,25156290221.0,Finance,Investment Managers
ARGX,1046.27,7.0,394.89,23170805339.3617,Health Technology,Pharmaceuticals: Other
ARHS,0.0,7.0,12.0,1683394860.0,Consumer Durables,Home Furnishings
ARMK,32.8,9.0,29.41,7718766112.000001,Consumer Services,Restaurants
AROC,11.02,10.0,16.17,2523457603.0,Industrial Services,Oilfield Services/Equipment
ARVN,104.68,10.0,48.28,2656631317.0,Health Technology,Biotechnology
ARW,137.67,7.0,113.4,6141675717.0,Distribution Services,Electronics Distributors
ARWR,24.81,10.0,30.85,3822219771.000001,Health Technology,Biotechnology
ASAI,26.01,4.0,13.74,3737301168.8228993,Retail Trade,Food Retail
ASAN,31.15,5.0,18.96,4219258441.000001,Technology Services,Packaged Software
ASGN,103.92,1.0,95.57,4510904059.000001,Technology Services,Information Technology Services
ASH,105.8,4.0,91.4,4578681792.999999,Consumer Non-Durables,Food: Specialty/Candy
ASML,912.51,10.0,922.94,363644227533.9178,Electronic Technology,Semiconductors
ASND,1693.57,6.0,139.25,7883553111.0,Health Technology,Pharmaceuticals: Major
ASO,48.73,9.0,66.34,4919202440.0,Retail Trade,Specialty Stores
ASR,349.1,6.0,313.0,9343637889.60575,Transportation,Other Transportation
ASX,7.49,6.0,9.43,17839874131.261578,Electronic Technology,Semiconductors
ATAT,0.0,,18.04,2365392617.0,Consumer Services,Hotels/Resorts/Cruise lines
ATEC,18.09,9.0,16.65,2269405923.0,Health Technology,Medical Specialties
ATGE,51.22,5.0,49.17,1926877439.0,Consumer Services,Other Consumer Services
ATHM,31.83,7.0,25.38,3197309401.13046,Technology Services,Internet Software/Services
ATI,34.52,7.0,40.75,5198771286.0,Non-Energy Minerals,Other Metals/Minerals
ATKR,142.65,7.0,148.65,5465604602.0,Producer Manufacturing,Electrical Products
ATMU,0.0,7.0,21.85,1820056921.9999995,Producer Manufacturing,Auto Parts: OEM
ATO,105.85,8.0,112.93,17034328092.000002,Utilities,Gas Distributors
ATR,128.74,6.0,132.12,8691020445.000002,Process Industries,Containers/Packaging
ATS,43.72,10.0,41.1,3306420162.850154,Producer Manufacturing,Industrial Machinery
ATUS,8.65,3.0,2.02,1290973860.0,Communications,Major Telecommunications
AUPH,18.73,4.0,7.91,1135940479.0,Health Technology,Biotechnology
AUR,,3.0,3.24,4924115708.0,Technology Services,Packaged Software
AVA,44.93,5.0,32.9,2545394392.0,Utilities,Electric Utilities
AVAV,130.56,9.0,124.57,3504789325.0,Electronic Technology,Aerospace & Defense
AVB,218.53,6.0,174.53,24787205287.0,Finance,Real Estate Investment Trusts
AVDL,0.56,7.0,14.7,1390502382.0,Health Technology,Pharmaceuticals: Major
AVDX,0.0,8.0,11.91,2419487682.9999995,Technology Services,Packaged Software
AVGO,774.39,10.0,1274.76,596766869892.0,Electronic Technology,Semiconductors
AVNT,37.48,6.0,37.01,3373884667.0,Process Industries,Chemicals: Major Diversified
AVPT,0.0,8.0,7.97,1463784298.0,Technology Services,Data Processing Services
AVT,49.3,3.0,44.72,4041062425.0,Distribution Services,Electronics Distributors
AVTR,23.75,9.0,23.3,15759797232.0,Process Industries,Chemicals: Specialty
AVY,182.34,3.0,202.97,16345434105.0,Process Industries,Containers/Packaging
AWK,157.51,6.0,121.83,23720910730.0,Utilities,Water Utilities
AWR,99.7,4.0,75.11,2777612486.0,Utilities,Water Utilities
AXNX,106.53,7.0,67.95,3442484475.0000005,Health Technology,Medical Specialties
AXSM,0.0,10.0,95.68,4527534151.0,Health Technology,Biotechnology
AXTA,32.61,7.0,31.05,6833578172.0,Process Industries,Industrial Specialties
AY,29.63,6.0,18.4,2135414206.9999995,Utilities,Alternative Power Generation
AYI,194.63,6.0,241.78,7450875519.0,Producer Manufacturing,Electrical Products
AYX,83.92,7.0,47.66,3444515947.0,Technology Services,Packaged Software
AZEK,32.65,7.0,45.97,6789737475.0,Producer Manufacturing,Building Products
AZN,74.21,8.0,63.52,192079815167.6502,Health Technology,Pharmaceuticals: Major
AZO,2771.67,7.0,2731.66,47235602189.0,Retail Trade,Specialty Stores
AZTA,90.58,6.0,64.04,3568207058.9999995,Health Services,Medical/Nursing Services
AZZ,81.07,9.0,67.2,1685165713.0000002,Process Industries,Industrial Specialties
B,49.87,5.0,34.67,1756898560.0,Producer Manufacturing,Industrial Machinery
BA,240.02,4.0,209.22,127652485797.00002,Electronic Technology,Aerospace & Defense
BABA,103.37,9.0,70.78,182836526956.60043,Retail Trade,Internet Retail
BAH,118.22,10.0,144.62,18763846344.0,Commercial Services,Miscellaneous Commercial Services
BAK,10.17,4.0,7.05,2854362734.0853,Process Industries,Chemicals: Specialty
BALL,58.38,10.0,59.14,18646913278.0,Process Industries,Containers/Packaging
BATRK,34.04,,40.56,2494504320.0,Consumer Services,Movies/Entertainment
BB,6.68,4.0,2.79,1633129156.824,Technology Services,Packaged Software
BBIO,1.94,8.0,32.96,5733953513.0,Health Technology,Biotechnology
BBUC,0.0,5.0,24.38,2410915750.7004857,Industrial Services,Engineering & Construction
BBY,81.76,9.0,75.49,16260240981.000002,Retail Trade,Electronics/Appliance Stores
BCC,63.32,10.0,137.53,5444788539.0,Distribution Services,Wholesale Distributors
BCE,48.74,8.0,37.95,34620808306.08067,Communications,Major Telecommunications
BCO,79.19,4.0,81.47,3670316417.0,Commercial Services,Miscellaneous Commercial Services
