AveragePriceTarget,SmartScore,Ticker,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
31.2,3.0,ZWS,29.815,5152346388.86796,Producer Manufacturing,Industrial Machinery,4.645312762032527
12.63,7.0,ZUO,9.2,1316658011.035987,Technology Services,Packaged Software,37.28260869565219
220.0,7.0,ZTS,193.79,88971641329.64262,Health Technology,Pharmaceuticals: Major,13.524949687806394
33.83,7.0,ZTO,19.93,16020066918.016,Transportation,Air Freight/Couriers,69.74410436527846
225.53,8.0,ZS,220.52,32710489369.609005,Technology Services,Data Processing Services,2.271902775258476
32.89,8.0,ZNTL,14.67,1038133859.2363636,Health Technology,Biotechnology,124.19904567143831
77.29,5.0,ZM,72.368,22030645441.20456,Technology Services,Packaged Software,6.8013486623922335
69.14,9.0,ZLAB,25.97,2619217382.7840004,Health Technology,Biotechnology,166.23026569118215
14.0,7.0,ZIP,14.195,1364421689.830996,Technology Services,Internet Software/Services,-1.3737231419513933
38.69,2.0,ZION,44.4068,6578814135.91215,Finance,Major Banks,-12.873704027311133
7.15,4.0,ZIM,11.3,1358080385.9619048,Transportation,Marine Shipping,-36.72566371681416
20.07,7.0,ZI,18.99,7401967588.506334,Technology Services,Packaged Software,5.687203791469204
14.65,8.0,ZGN,11.64,2908013133.9296136,Consumer Non-Durables,Apparel/Footwear,25.859106529209622
49.47,7.0,ZG,58.41,13784562911.33966,Technology Services,Information Technology Services,-15.305598356445811
13.17,7.0,ZETA,8.9,1907069974.541284,Technology Services,Packaged Software,47.977528089887635
77.67,5.0,ZD,67.3995,3099349209.331752,Technology Services,Internet Software/Services,15.238243607148416
261.6,7.0,ZBRA,266.77,13701201401.98021,Electronic Technology,Computer Processing Hardware,-1.937999025377651
130.76,9.0,ZBH,120.535,25189490549.265022,Health Technology,Medical Specialties,8.483013232671004
50.17,5.0,Z,59.18,13780855655.40902,Technology Services,Information Technology Services,-15.224738087191614
46.5,5.0,YY,38.615,2465865178.0,Technology Services,Data Processing Services,20.419526090897314
61.44,9.0,YUMC,41.57,17195607347.16807,Consumer Services,Restaurants,47.798893432764004
136.38,10.0,YUM,129.855,36399423690.70926,Consumer Services,Restaurants,5.024835393323327
15.65,5.0,YPF,17.37,8374599416.159535,Energy Minerals,Integrated Oil,-9.902130109383998
26.57,6.0,YOU,21.98,3314699910.9815154,Technology Services,Packaged Software,20.882620564149224
10.0,3.0,YMM,6.7,7268156739.0,Technology Services,Packaged Software,49.25373134328358
47.08,9.0,YETI,52.5,4559776442.307692,Producer Manufacturing,Miscellaneous Manufacturing,-10.323809523809528
50.25,7.0,YELP,48.715,3335651140.2092667,Technology Services,Internet Software/Services,3.1509801909062847
122.56,9.0,XYL,111.895,26975398116.76014,Producer Manufacturing,Industrial Machinery,9.531256981992053
13.5,6.0,XRX,18.6,2286051622.791689,Electronic Technology,Computer Peripherals,-27.41935483870968
