SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
9,ZTS,181.83,83480640907.0,Health Technology,Pharmaceuticals: Major
6,ZTO,21.26,17108461072.024828,Transportation,Air Freight/Couriers
7,ZS,200.05,29674104136.0,Technology Services,Data Processing Services
6,ZM,71.93,21897306817.0,Technology Services,Packaged Software
5,ZG,45.01,10820437815.0,Technology Services,Information Technology Services
7,ZBRA,233.23,11978600194.0,Electronic Technology,Computer Processing Hardware
7,ZBH,117.29,24511348006.0,Health Technology,Medical Specialties
3,Z,46.73,10820437815.0,Technology Services,Information Technology Services
10,YUMC,39.95,16525488257.0,Consumer Services,Restaurants
10,YUM,124.27,34833902495.00001,Consumer Services,Restaurants
4,YPF,16.5,17821807412.06141,Energy Minerals,Integrated Oil
8,XYL,106.04,25563887381.0,Producer Manufacturing,Industrial Machinery
7,XPEV,16.0,15405161944.53809,Consumer Durables,Motor Vehicles
7,XP,24.1,13208806387.0,Finance,Investment Banks/Brokers
7,XOM,98.42,394283632127.0,Energy Minerals,Integrated Oil
7,XEL,61.55,33964291870.0,Utilities,Electric Utilities
6,WY,30.89,22549729720.0,Finance,Real Estate Investment Trusts
6,WTW,242.72,25063365990.0,Finance,Insurance Brokers/Services
8,WST,341.19,25244535620.0,Health Technology,Medical Specialties
8,WSO,403.03,15874598340.0,Producer Manufacturing,Building Products
7,WSM,195.32,12528707333.0,Retail Trade,Specialty Stores
6,WRK,40.97,10507538753.999998,Process Industries,Containers/Packaging
9,WRB/PH,19.26,18283128015.0,Finance,Property/Casualty Insurance
9,WRB/PG,20.51,18283128015.0,Finance,Property/Casualty Insurance
9,WRB/PF,22.51,18283128015.0,Finance,Property/Casualty Insurance
9,WRB/PE,23.67,18283128015.0,Finance,Property/Casualty Insurance
9,WRB,70.9,18283128015.0,Finance,Property/Casualty Insurance
9,WPM,47.82,21662275003.08613,Non-Energy Minerals,Precious Metals
3,WPC,63.99,13992813648.0,Finance,Real Estate Investment Trusts
8,WMT,152.46,410457959223.0,Retail Trade,Specialty Stores
6,WMG,34.07,17579963051.0,Commercial Services,Commercial Printing/Forms
7,WMB,34.93,42492298468.0,Industrial Services,Oil & Gas Pipelines
8,WM,172.84,69615707590.0,Industrial Services,Environmental Services
4,WLK,129.54,16599353491.999998,Process Industries,Chemicals: Specialty
5,WIT,4.98,26125543884.48776,Technology Services,Information Technology Services
8,WFC/PZ,19.62,164876445581.0,Finance,Major Banks
8,WFC/PY,23.36,164876445581.0,Finance,Major Banks
8,WFC/PR,25.04,164876445581.0,Finance,Major Banks
8,WFC/PL,1142.2975,164876445581.0,Finance,Major Banks
8,WFC/PD,17.69,164876445581.0,Finance,Major Banks
8,WFC/PC,18.08,164876445581.0,Finance,Major Banks
8,WFC/PA,19.8,164876445581.0,Finance,Major Banks
8,WFC,45.4,164876445581.00003,Finance,Major Banks
7,WES,28.24,10717542708.999998,Industrial Services,Oil & Gas Pipelines
4,WELL,87.51,48434083542.0,Finance,Real Estate Development
5,WEC,85.0,26811935883.0,Utilities,Electric Utilities
3,WDS,19.24,37520490012.579,Energy Minerals,Oil & Gas Production
9,WDC,47.31,15339944537.0,Electronic Technology,Computer Peripherals
9,WDAY,272.38,71635941284.0,Technology Services,Information Technology Services
8,WCN,138.39,35655261622.70415,Transportation,Trucking
8,WBD,10.82,26385279847.000004,Consumer Services,Cable/Satellite TV
6,WBA,22.91,19792282227.0,Health Technology,Pharmaceuticals: Major
8,WAT,293.38,17346672511.0,Health Technology,Medical Specialties
